,date,VRP
2000,2004-01-14,-68.96017697848077
2001,2004-01-15,-84.01985632249378
2002,2004-01-16,-90.4397113156208
2003,2004-01-20,-88.02001583341905
2004,2004-01-21,-97.88482723496196
2005,2004-01-22,-93.37237187209712
2006,2004-01-23,-91.94718816262593
2007,2004-01-26,-95.16474938333897
2008,2004-01-27,-86.66311681355404
2009,2004-01-28,-69.48163918383659
2010,2004-01-29,-65.68918985025812
2011,2004-01-30,-71.6677290386911
2012,2004-02-02,-65.48492479830571
2013,2004-02-03,-62.48814357050861
2014,2004-02-04,-55.28021416388788
2015,2004-02-05,-57.055393079422174
2016,2004-02-06,-79.19067368868656
2017,2004-02-09,-75.08787515775242
2018,2004-02-10,-80.58419932012288
2019,2004-02-11,-86.93495564013466
2020,2004-02-12,-88.32358015871904
2021,2004-02-13,-85.0994744536896
2022,2004-02-17,-87.04908327544621
2023,2004-02-18,-85.24705412968237
2024,2004-02-19,-82.58300514195139
2025,2004-02-20,-79.72927924720284
2026,2004-02-23,-76.36284870838233
2027,2004-02-24,-81.16781288263434
2028,2004-02-25,-92.6391922115962
2029,2004-02-26,-93.14175841981506
2030,2004-02-27,-95.83420242535851
2031,2004-03-01,-96.14937904485225
2032,2004-03-02,-91.7581116057066
2033,2004-03-03,-95.3966380426333
2034,2004-03-04,-97.01209803977036
2035,2004-03-05,-96.17759375180216
2036,2004-03-08,-80.62709513213366
2037,2004-03-09,-70.88189899596932
2038,2004-03-10,-42.24744564987071
2039,2004-03-11,-13.063802058191754
2040,2004-03-12,-49.529379894023975
2041,2004-03-15,-6.899659284019094
2042,2004-03-16,-20.368781841985253
2043,2004-03-17,-53.29013946439699
2044,2004-03-18,-47.59329589507405
2045,2004-03-19,-38.535807499281816
2046,2004-03-22,-1.0730592498758256
2047,2004-03-23,-16.62272393971739
2048,2004-03-24,-29.957865130149855
2049,2004-03-25,-57.89459368057675
2050,2004-03-26,-66.56288925447916
2051,2004-03-29,-77.3404139894638
2052,2004-03-30,-80.93850013377295
