This file contains the VIX futures returns used in the paper 'Risk Premia and the VIX Term Structure' by Travis Johnson
The dates are in YYYYMMDD format
r_K^{VIX fut.} gives the daily return of a constant-maturity VIX futures strategy with target maturity K months
Returns are in percent

Date,r_1^{VIX fut.},r_2^{VIX fut.},r_3^{VIX fut.},r_4^{VIX fut.},r_5^{VIX fut.},r_6^{VIX fut.}
20050809, -3.334, -4.073, -4.073, -4.073, -2.142, -2.142
20050810, -1.178, 2.454, 2.454, 2.454, 0.733, 0.733
20050811, -0.998, -3.592, -3.592, -3.592, 0.264, 0.264
20050812, 5.706, 5.706, 5.706, 5.706, 0.963, 0.963
20050815, -0.740, -0.740, -0.740, -0.740, -1.248, -1.248
20050816, 2.688, 2.688, 2.688, 2.688, 1.995, 1.995
20050817, 0.973, 0.973, 0.973, 0.973, -2.407, -2.407
20050818, -1.794, -1.794, -1.794, -1.794, -0.213, -0.213
20050819, -0.798, -0.798, -0.798, -0.798, -0.682, -0.682
20050822, 0.023, 0.023, 0.023, 0.023, -1.160, -1.160
20050823, -0.364, -0.364, -0.364, 0.720, 0.720, -1.379
20050824, -0.981, -0.981, -0.981, 0.534, 0.534, 2.687
20050825, 0.010, 0.010, 0.010, -0.094, -0.094, 0.017
20050826, 0.456, 0.456, 0.456, 0.745, 0.745, 0.280
20050829, -1.978, -1.978, -1.978, -0.489, -0.489, 0.779
20050830, 0.738, 0.738, 0.738, 0.926, 0.926, 0.160
20050831, -1.911, -1.911, -1.911, -0.842, -0.842, -0.592
20050901, 1.025, 1.025, 1.025, -0.173, -0.173, -1.549
20050902, -0.577, -0.577, -0.577, 2.380, 2.380, 0.364
20050906, -0.405, -0.405, -0.405, -2.614, -2.614, -0.067
20050907, -1.381, -1.381, -1.381, -1.031, -1.031, -0.498
20050908, 0.402, 0.402, 0.402, -0.329, -0.329, -1.644
20050909, -2.126, -2.126, -2.126, -0.473, -0.473, 0.605
20050912, -0.477, -0.477, -0.477, -0.206, -0.206, -0.952
20050913, 1.195, 1.195, 1.195, 0.179, 0.179, 0.637
20050914, -0.231, -0.231, -0.231, 0.528, 0.528, 1.236
20050915, -0.481, -0.481, -0.481, -0.083, -0.083, -1.247
20050916, -1.559, -1.559, -1.559, -1.061, -1.061, -0.561
20050919, 0.614, 0.614, 0.614, 0.424, 0.424, 1.033
20050920, 0.515, 0.515, 0.280, 0.280, -0.949, -0.949
20050921, 2.339, 2.339, 2.863, 2.863, 0.748, 0.748
20050922, 1.306, 1.306, -0.165, -0.165, -0.844, -0.844
20050923, -1.514, -1.514, -0.772, -0.772, -0.079, -0.079
20050926, -1.288, -1.288, -0.551, -0.551, -0.708, -0.708
20050927, -0.820, -0.820, -0.638, -0.638, -1.454, -1.454
20050928, -1.495, -1.495, -1.722, -1.722, -1.703, -1.703
20050929, -2.032, -2.032, -1.875, -1.875, -1.938, -1.938
20050930, -1.499, -1.499, -1.384, -1.384, -2.639, -2.639
20051003, -0.422, -0.422, -0.253, -0.253, 1.811, 1.811
20051004, 1.228, 1.228, -0.061, -0.061, 1.415, 1.415
