,date,near,next,RET
593,1998-05-11,5,40,-0.07058470642625847
594,1998-05-12,4,39,-0.047240321281812325
595,1998-05-13,3,38,-0.09168938822232253
597,1998-05-15,36,64,0.09522376513129616
598,1998-05-18,33,61,0.01592768700434899
599,1998-05-19,32,60,-0.21559814068724836
600,1998-05-20,31,59,-0.05521115202821003
601,1998-05-21,30,58,-0.06981709024421079
602,1998-05-22,29,57,-0.13059437508182292
603,1998-05-26,25,53,0.2625211491542929
604,1998-05-27,24,52,0.00438043247175135
605,1998-05-28,23,51,-0.1952684918103581
606,1998-05-29,22,50,0.02801771908064854
607,1998-06-01,19,47,0.050067153502281636
608,1998-06-02,18,46,-0.07019622864090891
609,1998-06-03,17,45,0.1753102167881
610,1998-06-04,16,44,-0.18958856423817882
611,1998-06-05,15,43,-0.1308225541773831
612,1998-06-08,12,40,-0.17452902238764745
613,1998-06-09,11,39,-0.11788126452723036
614,1998-06-10,10,38,0.0755949567452725
615,1998-06-11,9,37,0.12393273295688867
616,1998-06-12,8,36,-0.02477656725866806
617,1998-06-15,5,33,0.23557324413601877
618,1998-06-16,4,32,-0.1635446626219177
619,1998-06-17,3,31,-0.1717237507729531
621,1998-06-19,29,64,-0.061880565471186255
622,1998-06-22,26,61,-0.1361439924607205
623,1998-06-23,25,60,-0.13808037708382792
624,1998-06-24,24,59,-0.05675854079109577
625,1998-06-25,23,58,-0.026422609717625
626,1998-06-26,22,57,-0.09447164655944162
627,1998-06-29,19,54,-0.0922229717900237
628,1998-06-30,18,53,-0.10354074384490586
629,1998-07-01,17,52,-0.009057573381987427
630,1998-07-02,16,51,-0.07295763761847618
631,1998-07-06,12,47,-0.08583691305157648
632,1998-07-07,11,46,0.004116112313101938
633,1998-07-08,10,45,-0.07844861843412598
634,1998-07-09,9,44,-0.020247432550947297
635,1998-07-10,8,43,-0.024737580107134893
636,1998-07-13,5,40,-0.06747678073697849
637,1998-07-14,4,39,-0.08072254728854955
638,1998-07-15,3,38,-0.009791593298628332
640,1998-07-17,36,64,0.0729222144926065
641,1998-07-20,33,61,-0.006806959813578817
642,1998-07-21,32,60,0.19280707117534424
643,1998-07-22,31,59,-0.017394544523603006
644,1998-07-23,30,58,0.15494992491633197
645,1998-07-24,29,57,-0.04504018031450496
